file_name|id|source_org|source_file|original_id|type|name|address|city|state|zip_code|county|location_description|phone|url|latitude|longitude|latlng_source|date_from|date_to|open_to_spec_group|data_issues|food_bucks|snap|wic|fmnp|fresh_produce|free_distribution|food_rx|group_id|merged_record|timestamp|in_error|active_record
ARC_GIS_SNAP_QUERY|0|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|151|other|K & G Supermart|1043 Hamil Rd|Verona|PA|15147|ALLEGHENY||||40.502525|-79.812576|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|1|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|152|convenience store|Family Dollar 8406|1122 Milltown Rd|Verona|PA|15147|ALLEGHENY||||40.499241|-79.789886|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|2|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|153|convenience store|Dollar General 22867|1108 Milltown Rd|Verona|PA|15147|ALLEGHENY||||40.498741|-79.789368|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|3|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|154|convenience store|7-Eleven Store 36205|6106 Saltsburg Rd|Verona|PA|15147|ALLEGHENY||||40.484097|-79.818901|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|4|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|155|convenience store|7-Eleven 40288|2000 Eastern Ave|Verona|PA|15147|ALLEGHENY||||40.521042|-79.814064|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|5|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|156|supermarket|COMMUNITY SUPER MKT INC|1117 Milltown Rd|Verona|PA|15147|ALLEGHENY||||40.498421|-79.789978|Arc_Gis|||||True|True|False|False|True|False|False||False||False|True
ARC_GIS_SNAP_QUERY|6|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|157|other|Verona Shell|4901 Allegheny River Blvd|Verona|PA|15147|ALLEGHENY||||40.485207|-79.856926|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|7|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|158|convenience store|Dollar Tree 4019|100 Allegheny River Blvd|Verona|PA|15147|ALLEGHENY||||40.50045|-79.843262|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|8|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|159|convenience store|Sheetz 459|2175 Hulton Rd|Verona|PA|15147|ALLEGHENY||||40.526405|-79.816048|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|9|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|160|supermarket|VERONA GIANT EAGLE|200 Allegheny River Blvd|Verona|PA|15147|ALLEGHENY||||40.500896|-79.843269|Arc_Gis|||||True|True|False|False|True|False|False||False||False|True
ARC_GIS_SNAP_QUERY|10|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|161|convenience store|Get Go 3476|800 Allegheny River Blvd|Verona|PA|15147|ALLEGHENY||||40.506878|-79.842865|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|11|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|162|convenience store|Rite Aid 10931|2501 Banksville Rd|Pittsburgh|PA|15216|ALLEGHENY||||40.406754|-80.034691|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|12|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|164|convenience store|A-PLUS MINI MART|3100 W Liberty Ave|Pittsburgh|PA|15216|ALLEGHENY||||40.391376|-80.038971|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
ARC_GIS_SNAP_QUERY|13|USDA Food and Nutrition Service|https://services1.arcgis.com/RLQu0rK7h4kbsBq5/arcgis/rest/services/Store_Locations/FeatureServer|165|convenience store|DOLLAR EAGLE DISCOUNTS|1552 Beechview Ave|Pittsburgh|PA|15216|ALLEGHENY||||40.411846|-80.024895|Arc_Gis|||||True|True|False|False|False|False|False||False||False|True
